date,Newly infected person,Severely ill,Patients in need of inpatient treatment,Patients scheduled to be hospitalized,Cumulative discharge,Cumulative deaths
2022/2/25,70771,1507,738662,20733,4027243,23003
2022/2/26,74143,1482,728605,23457,4103825,23262
2022/2/27,52621,1461,716006,24765,4179381,23438
2022/2/28,27964,1456,703137,21622,4253633,23625
2022/3/1,75413,1452,681938,23638,4333809,23852
2022/3/2,70247,1418,675315,25984,4408661,24084
2022/3/3,59725,1419,664940,26134,4488198,24341
2022/3/4,54442,1399,655063,21768,4567818,24596
2022/3/5,58554,1362,642761,22868,4641546,24781
2022/3/6,44677,1354,638444,23717,4700670,24927
2022/3/7,21997,1348,611330,18871,4773095,25041
2022/3/8,64051,1321,592755,22196,4838139,25273
2022/3/9,62020,1322,590488,23750,4899707,25478
2022/3/10,53211,1252,592736,24732,4959638,25689
2022/3/11,47864,1204,578501,21072,5035201,25852
2022/3/12,52154,1175,570129,21255,5096117,26021
2022/3/13,40700,1175,561661,22238,5156062,26146
2022/3/14,21053,1170,542272,18572,5215559,26254
2022/3/15,59161,1140,529120,21172,5272942,26434
2022/3/16,56152,1090,522454,22979,5332832,26592
2022/3/17,47430,991,521174,22969,5389612,26756
2022/3/18,40064,983,515459,19613,5448178,26911
2022/3/19,41734,955,503950,20053,5504446,27037
2022/3/20,32708,951,492387,20237,5555561,27111
2022/3/21,18994,937,471374,19524,5607479,27168
2022/3/22,15549,916,445129,15973,5658738,27238
2022/3/23,51940,891,420521,19717,5715624,27348
2022/3/24,49088,733,424988,21328,5757693,27477
2022/3/25,42032,707,413879,19813,5818388,27593
2022/3/26,44410,694,409000,21618,5868328,27691
2022/3/27,36166,691,410207,21782,5910662,27759
2022/3/28,29740,673,402061,17807,5955216,27823
2022/3/29,44378,655,400896,20692,5995435,27905
2022/3/30,53657,627,410636,23194,6035183,28002
2022/3/31,51795,533,422681,24177,6070037,28089
2022/4/1,49152,518,439509,21481,6109304,28192
2022/4/2,48703,510,444365,21566,6151596,28240
2022/4/3,47229,505,451289,24106,6190247,28278
2022/4/4,30031,508,441490,25388,6232481,28319
2022/4/5,45594,508,447295,21333,6272920,28379
2022/4/6,54775,494,455293,24840,6315439,28448
2022/4/7,54900,484,469458,25648,6355619,28520
2022/4/8,51867,489,472706,21414,6408391,28582
2022/4/9,52647,484,477055,24104,6454196,28638
2022/4/10,49053,465,483377,25400,6495585,28676
